track,type,shortcut,player,system_played,date,time_period,time,record_duration,position,total,year,records,nation
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,1997,41.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,1998,54.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,1999,19.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,2000,2.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,2001,2.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,2002,1.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1997-02-16,2M 9.99S,129.99,0,6,121,2003,2.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,1997,41.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,1998,54.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,1999,19.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,2000,2.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,2001,2.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,2002,1.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-12,2M 0.04S,120.04,1,6,121,2003,2.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-13,2M 0.01S,120.01,74,6,121,1997,41.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-13,2M 0.01S,120.01,74,6,121,1998,54.0,USA
Luigi Raceway,Three Lap,No,Booth,NTSC,1998-03-13,2M 0.01S,120.01,74,6,121,1999,19.0,USA
